
\xb0\xd0\xfe0,0\n
1001,0\n
1004,4095\n
1001,0\n
1001,2636\n
1015,3684\n
1002,0\n
1003,4095\n
1001,0\n
1000,2747\n
1019,3685\n
1002,0\n
1002,4095\n
998,0\n
1003,2830\n
996,3735\n
1003,0\n
1001,4095\n
999,0\n
1001,2885\n
1004,3869\n
1003,0\n
1023,4095\n
1004,0\n
1006,2847\n
1001,4059\n
1002,0\n
1009,4095\n
1003,0\n
1003,2747\n
1003,4095\n
994,0\n
1004,4095\n
999,0\n
1004,2557\n
1002,4095\n
1004,0\n
1004,4095\n
1003,0\n
1004,2405\n
1006,4095\n
1005,0\n
1003,4095\n
1004,0\n
1004,2290\n
1004,4095\n
1008,0\n
1004,4095\n
1004,0\n
1007,2192\n
1003,4095\n
1004,0\n
1023,4095\n
1005,0\n
999,267\n
1004,4095\n
1007,0\n
1005,0\n
1001,4095\n
1004,2179\n
1005,2523\n
1005,4095\n
1010,0\n
1002,4095\n
1008,1571\n
1004,2077\n
1004,4095\n
1004,0\n
1012,4095\n
1003,1492\n
1006,1829\n
1012,4095\n
1005,0\n
1005,4095\n
1001,1440\n
1005,4095\n
1005,1381\n
1006,4095\n
1006,0\n
999,2967\n
1004,4095\n
1005,1146\n
1007,4095\n
1004,2655\n
1006,3120\n
1005,4095\n
1008,1291\n
1005,4095\n
1008,0\n
999,2407\n
978,4095\n
1005,0\n
1004,4095\n
1008,0\n
1006,4095\n
1006,0\n
1004,4095\n
1006,1445\n
1007,4095\n
1008,0\n
1007,1995\n
1008,3506\n
1007,1876\n
1011,3591\n
1005,3629\n
1008,1609\n
1004,4095\n
1009,0\n
1007,1535\n
1008,3679\n
1007,1425\n
1008,1767\n
1006,2768\n
1011,0\n
1007,1222\n
1007,4095\n
1007,1074\n
999,3722\n
1007,0\n
1016,4095\n
1020,0\n
